x,y,z,qx,qy,qz,qw,speed
89630.1,43130.7,0,0,0,0.890874,0.454251,8.33333
89628.3,43133.1,0,0,0,0.887679,0.460463,8.33333
89626.6,43135.5,0,0,0,0.886576,0.462583,8.33333
89624.9,43138,0,0,0,0.886618,0.462503,8.33333
89623.2,43140.4,0,0,0,0.886023,0.463642,8.33333
89621.5,43142.9,0,0,0,0.88584,0.46399,8.33333
89619.8,43145.3,0,0,0,0.884065,0.467363,8.33333
89618.1,43147.8,0,0,0,0.881734,0.471747,8.33333
89616.4,43150.3,0,0,0,0.874733,0.484605,8.33333
89614.9,43152.8,0,0,0,0.852035,0.523484,8.33333
89613.5,43155.5,0,0,0,0.798825,0.601564,8.33333
89612.7,43158.3,0,0,0,0.702854,0.711334,8.33333
89612.7,43161.3,0,0,0,0.568884,0.822418,8.33333
89613.8,43164.1,0,0,0,0.332024,0.943271,8.33333
89616,43165.9,0,0,0,0.0957612,0.995404,8.33333
89619,43166.5,0,0,0,-0.171466,0.98519,8.33333
89621.7,43165.5,0,0,0,-0.372298,0.928113,8.33333
89623.9,43163.4,0,0,0,-0.433472,0.901167,8.33333
89625.7,43161.1,0,0,0,-0.50772,0.861522,8.33333
89627.2,43158.5,0,0,0,-0.535709,0.844403,8.33333
89628.5,43155.8,0,0,0,-0.557544,0.830147,8.33333
89629.6,43153,0,0,0,-0.569087,0.822278,8.33333
89630.6,43150.2,0,0,0,-0.477121,0.878837,8.33333
89632.3,43147.8,0,0,0,-0.5511,0.834439,8.33333
89633.2,43145.5,0,0,0,-0.518683,0.854967,8.33333
89634.5,43143.1,0,0,0,-0.49334,0.869836,8.33333
89636.3,43140.9,0,0,0,-0.306848,0.951759,8.33333
89637.8,43137.6,0,0,0,-0.475437,0.87975,8.33333
89640.3,43133.8,0,0,0,-0.346564,0.938026,8.33333
89644.9,43129.8,0,0,0,0.350125,0.936703,8.33333
89649.3,43131.9,0,0,0,0.675274,0.737567,8.33333
89649.8,43137.4,0,0,0,0.741942,0.670464,8.33333
89649.4,43140.9,0,0,0,0.84158,0.540133,8.33333
89648,43144,0,0,0,0.838252,0.545282,8.33333
89646.3,43147.8,0,0,0,0.879473,0.475948,8.33333
89644.7,43150.3,0,0,0,0.858429,0.512933,8.33333
89643.2,43153.1,0,0,0,0.909974,0.414665,8.33333
89641.4,43155.1,0,0,0,0.931912,0.362684,8.33333
89639.5,43156.9,0,0,0,0.899436,0.437053,8.33333
89637.6,43159.2,0,0,0,0.904818,0.425798,8.33333
89635.7,43161.5,0,0,0,0.909045,0.416698,8.33333
89633.8,43163.8,0,0,0,0.911257,0.411839,8.33333
89631.8,43166,0,0,0,0.906128,0.423003,8.33333
89629.9,43168.3,0,0,0,0.896159,0.443734,8.33333
89628.1,43170.7,0,0,0,0.910751,0.412956,8.33333
89626.2,43172.9,0,0,0,0.926643,0.375943,8.33333
89623.9,43175,0,0,0,0.914781,0.40395,8.33333
89621.6,43177,0,0,0,0.814524,0.580131,8.33333
89620.6,43179.8,0,0,0,0.728822,0.684703,8.33333
89620.5,43182.8,0,0,0,0.563098,0.82639,8.33333
89621.5,43185.5,0,0,0,0.328683,0.94444,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,8.33333
89626.7,43188.2,0,0,0,-0.0738567,0.997269,8.33333
89629.7,43187.7,0,0,0,-0.257591,0.966254,8.33333
89632.1,43186.3,0,0,0,-0.307613,0.951512,8.33333
89634.6,43184.5,0,0,0,-0.285239,0.958457,8.33333
89637.2,43182.8,0,0,0,-0.163097,0.98661,8.33333
89640,43181.9,0,0,0,-0.0102367,0.999948,8.33333
89642.9,43181.8,0,0,0,0.0930897,0.995658,8.33333
89645.8,43182.4,0,0,0,0.178075,0.984017,8.33333
89648.6,43183.4,0,0,0,0.241111,0.970498,8.33333
89651.3,43184.8,0,0,0,0.233975,0.972243,8.33333
89654,43186.2,0,0,0,0.197508,0.980301,8.33333
89656.7,43187.3,0,0,0,0.142863,0.989742,8.33333
89660,43187.9,0,0,0,-0.0897077,0.995968,8.33333
89662.6,43187.4,0,0,0,-0.438342,0.898808,8.33333
89664.6,43184.8,0,0,0,-0.587808,0.809001,8.33333
89665.2,43181.9,0,0,0,-0.783422,0.62149,8.33333
89664.5,43179.2,0,0,0,-0.884004,0.467479,8.33333
89662.4,43177.2,0,0,0,-0.964144,0.26538,8.33333
89659.5,43175.9,0,0,0,-0.994477,0.104957,8.33333
89657.2,43175.4,0,0,0,-0.997254,0.0740582,8.33333
89654.3,43175,0,0,0,-0.993132,0.117002,8.33333
89651.4,43174.3,0,0,0,-0.994252,0.10707,8.33333
89648.4,43173.7,0,0,0,-0.947133,0.320841,8.33333
89646.1,43171.9,0,0,0,-0.835952,0.548803,8.33333
89645.2,43169.7,0,0,0,-0.642321,0.766436,8.33333
89645.7,43166.6,0,0,0,-0.476306,0.87928,8.33333
89647.2,43164.3,0,0,0,-0.402601,0.915376,8.33333
89649,43162.3,0,0,0,-0.212259,0.977213,8.33333
89651.8,43161.1,0,0,0,-0.195738,0.980656,8.33333
89654.5,43159.9,0,0,0,-0.0527849,0.998606,8.33333
89657.5,43159.6,0,0,0,0.141186,0.989983,8.33333
89660.4,43160.5,0,0,0,0.351021,0.936368,8.33333
89662.4,43162.3,0,0,0,0.53549,0.844542,8.33333
89663.7,43165,0,0,0,0.581243,0.81373,8.33333
89665,43168.7,0,0,0,0.397529,0.91759,8.33333
89666.9,43170.8,0,0,0,0.0192201,0.999815,8.33333
89670.2,43170.9,0,0,0,-0.223079,0.9748,8.33333
89673.1,43169.5,0,0,0,-0.323006,0.946397,8.33333
89675.5,43167.6,0,0,0,-0.424476,0.905439,8.33333
89677.4,43165.3,0,0,0,-0.509104,0.860705,8.33333
89678.9,43162.7,0,0,0,-0.601335,0.798997,8.33333
89679.7,43159.8,0,0,0,-0.597069,0.80219,8.33333
89680.6,43157,0,0,0,-0.824312,0.566136,8.33333
89679.3,43153.7,0,0,0,-0.92808,0.372382,8.33333
89677.1,43151.6,0,0,0,-0.940498,0.339798,8.33333
89674.8,43149.7,0,0,0,-0.97392,0.226892,8.33333
89672.1,43148.4,0,0,0,-0.989185,0.146673,8.33333
89669.3,43147.5,0,0,0,-0.997181,0.07503,8.33333
89666.4,43147.1,0,0,0,-0.996143,0.0877477,8.33333
89663.3,43146.5,0,0,0,-0.995077,0.0991052,8.33333
89660,43145.9,0,0,0,-0.904353,0.426786,8.33333
89658.2,43143.7,0,0,0,-0.827209,0.561894,8.33333
89657,43140.8,0,0,0,-0.795063,0.606527,8.33333
89656.2,43137.9,0,0,0,-0.721723,0.692182,8.33333
89656.1,43134.7,0,0,0,-0.667034,0.745027,8.33333
89656.4,43132.1,0,0,0,-0.717595,0.69646,8.33333
89656.3,43129.3,0,0,0,-0.771432,0.636312,8.33333
89655.6,43125.4,0,0,0,-0.883,0.469374,8.33333
89654.2,43123.3,0,0,0,-0.91014,0.414302,8.33333
89652.2,43121.1,0,0,0,-0.992615,0.121308,8.33333
89649.7,43120.5,0,0,0,-0.999904,0.0138621,8.33333
89646.9,43120.4,0,0,0,0.999677,0.0254281,8.33333
89643.8,43120.5,0,0,0,0.988138,0.153571,8.33333
89640.9,43121.5,0,0,0,0.992268,0.124116,8.33333
89638.3,43122.1,0,0,0,0.949757,0.312989,8.33333
89635.9,43123.9,0,0,0,0.923158,0.38442,8.33333
89633.8,43126,0,0,0,0.905278,0.42482,8.33333
89631.9,43128.3,0,0,0,0.894858,0.446352,8.33333
89630.1,43130.7,0,0,0,0.890874,0.454251,8.33333
